avg,std,min,max,gen,nevals
51.11029755009243,6.698749242260095,30.415280041084056,82.53066816103238,0,1024
42.7152551160808,5.63947763960988,28.593081495849944,82.84985359732066,1,857
36.66496803413486,5.080993810500668,27.234058516693835,81.92089124010164,2,834
32.103828371802436,3.6645581055718845,27.232606370658264,55.91589223804966,3,876
29.52503219996762,2.2358304606917976,25.84715325473229,53.82796854534889,4,856
28.673290693539776,2.416373611445038,25.222585765159465,48.784089798081084,5,865
27.62514958263313,1.9404695100577698,25.222585765159465,46.06955533029258,6,850
26.8516320700473,1.9266789782772975,22.46821457421092,44.93185034341143,7,868
25.791303420379183,1.5455228538386983,21.72835084612309,40.48452763633844,8,878
24.972532638628017,1.7406352548293962,21.72835084612309,35.54816783695162,9,833
24.29250983738082,2.2315944418411093,21.52416731837942,37.47070746100776,10,861
