avg,std,min,max,gen,nevals
29.667056837388635,4.048856736396515,17.107735369698965,43.017340901172965,0,1024
24.876702030877478,2.6163503347458277,17.107735369698965,35.29682659574969,1,842
22.052606258079596,2.5430331944394307,15.713797933909118,36.68847474561244,2,884
19.022208719486166,2.0238161804617385,15.713797933909118,28.403967348017623,3,898
17.18768866084747,1.0397544662283607,15.517948162588773,25.923483690776504,4,854
16.623093286814736,1.4234527308017866,15.16749024419845,30.15982138000816,5,873
