avg,std,min,max,gen,nevals
51.133483852393354,7.050194147966708,25.65303912191218,81.90878452756449,0,1024
42.25545471051991,5.26979056795338,25.65303912191218,61.727985146101375,1,856
36.15523567031523,5.207646450279663,25.479562114891245,65.97328541704759,2,849
30.185120957045434,5.356246037907958,25.479562114891245,66.0953179918666,3,839
26.164539343100817,2.583347377178795,24.042346181727776,55.21455517448059,4,879
25.86945662150075,1.8518451168333705,23.784384074029365,56.24362912331965,5,865
25.666254474901756,1.6398021824497484,23.784384074029365,48.32084582653329,6,835
25.07670533156912,2.1484345680351975,22.856119662794086,54.29368041638705,7,853
24.27440255329614,2.0820462874129206,22.844755793758075,52.746227309643736,8,861
23.930955360363274,1.9027148410583996,22.84440272498976,55.44798725455198,9,851
23.561947718683193,2.269161223319528,22.64428033799072,54.65195677864473,10,864
